Model,Evaluation_Users,P@5,R@5,HR@5,MAP@5,NDCG@5,P@10,R@10,HR@10,MAP@10,NDCG@10,P@20,R@20,HR@20,MAP@20,NDCG@20
Popularity,500,0.1016,0.0278,0.35,0.062,0.1067,0.0916,0.0487,0.49,0.0473,0.1034,0.0756,0.0836,0.61,0.0383,0.1025
Random Forest,500,0.246,0.0952,0.59,0.1893,0.2647,0.2254,0.1606,0.72,0.1648,0.2643,0.1877,0.2349,0.792,0.1523,0.2687
