Model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,mcc_mean,mcc_std,brier_mean,brier_std
Logistic Regression,0.9953560371517026,0.004751646824859202,0.99441978103242,0.004610153085496317,0.9588235294117646,0.029994232432898744,0.9789473684210526,0.0171894017037416,0.9688854489164086,0.01952797268197908,0.9616227164572395,0.02410013112576938,0.9392369600799271,0.0382556891698841,-0.02007900672797705,0.005370388179304745
Random Forest,0.9904540763673891,0.005139277439830242,0.9886457124598518,0.005190464819310051,0.9294117647058824,0.029994232432898744,0.9789473684210526,0.017189401703741614,0.9541795665634675,0.01667760602309327,0.9460584598692016,0.020377089219552336,0.9157772767318434,0.031753680473733684,-0.03190621538461538,0.007403826341937164
Tuned and pruned CART,0.9753869969040248,0.012966392085389833,0.9526626946794682,0.029134080037273805,0.9470588235294117,0.03901911518065177,0.9403508771929825,0.03253901226489722,0.9437048503611972,0.023722570004928674,0.9255111107704916,0.029622603446902335,0.8810956872971631,0.04726795978241156,-0.04746262626600521,0.018384540128488554
Basic CART,0.9172342621259031,0.0375421661005599,0.8453273548321126,0.06062389815020001,0.8941176470588236,0.06056253024110001,0.9403508771929825,0.02379764906359742,0.9172342621259031,0.03754216610055988,0.8961838768798172,0.04470679299080025,0.8359366575399415,0.07096640482972927,-0.07692307692307693,0.03259867466855237
Dummy (prior),0.5,0.0,0.37362637362637363,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.2340297065571791,1.7554167342883506e-17
