threshold,sensitivity,specificity,precision,f1,youden
0.01,0.97265625,0.8375,0.9054545454545454,0.9378531073446328,0.8101562499999999
0.014949494949494949,0.97265625,0.8375,0.9054545454545454,0.9378531073446328,0.8101562499999999
0.0198989898989899,0.97265625,0.8375,0.9054545454545454,0.9378531073446328,0.8101562499999999
0.02484848484848485,0.97265625,0.8375,0.9054545454545454,0.9378531073446328,0.8101562499999999
0.029797979797979796,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.03474747474747475,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.039696969696969696,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.04464646464646465,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.049595959595959596,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.05454545454545454,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.059494949494949496,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.06444444444444444,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.06939393939393938,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.07434343434343434,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.07929292929292929,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.08424242424242423,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.08919191919191918,0.97265625,0.9,0.939622641509434,0.9558541266794626,0.8726562499999999
0.09414141414141414,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.09909090909090908,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.10404040404040403,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.10898989898989898,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.11393939393939392,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.11888888888888888,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.12383838383838383,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.12878787878787878,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.13373737373737374,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.1386868686868687,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.14363636363636365,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.1485858585858586,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.15353535353535352,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.15848484848484848,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.16343434343434343,0.96875,0.9,0.9393939393939394,0.9538461538461539,0.8687499999999999
0.16838383838383839,0.96875,0.91875,0.9501915708812261,0.9593810444874274,0.8875
0.17333333333333334,0.96875,0.91875,0.9501915708812261,0.9593810444874274,0.8875
0.1782828282828283,0.96875,0.91875,0.9501915708812261,0.9593810444874274,0.8875
