threshold,sensitivity,specificity,precision
0.05,0.9941176470588236,0.8105263157894737,0.757847533632287
0.055,0.9941176470588236,0.8175438596491228,0.7647058823529411
0.06,0.9941176470588236,0.8210526315789474,0.7681818181818182
0.065,0.9941176470588236,0.8245614035087719,0.771689497716895
0.07,0.9941176470588236,0.8385964912280702,0.786046511627907
0.075,0.9941176470588236,0.8421052631578947,0.7897196261682243
0.08,0.9941176470588236,0.8456140350877193,0.7934272300469484
0.08499999999999999,0.9941176470588236,0.8596491228070176,0.8086124401913876
0.09,0.9941176470588236,0.8596491228070176,0.8086124401913876
0.095,0.9941176470588236,0.8701754385964913,0.8203883495145631
0.09999999999999999,0.9941176470588236,0.8771929824561403,0.8284313725490197
0.105,0.9941176470588236,0.8771929824561403,0.8284313725490197
0.10999999999999999,0.9941176470588236,0.8807017543859649,0.8325123152709359
0.11499999999999999,0.9941176470588236,0.8807017543859649,0.8325123152709359
0.12,0.9941176470588236,0.8842105263157894,0.8366336633663366
0.12499999999999999,0.9941176470588236,0.887719298245614,0.8407960199004975
0.13,0.9941176470588236,0.9017543859649123,0.8578680203045685
0.135,0.9941176470588236,0.9017543859649123,0.8578680203045685
0.13999999999999999,0.9882352941176471,0.9017543859649123,0.8571428571428571
0.145,0.9882352941176471,0.9087719298245615,0.865979381443299
0.14999999999999997,0.9882352941176471,0.9122807017543859,0.8704663212435233
0.15499999999999997,0.9882352941176471,0.9192982456140351,0.8795811518324608
0.15999999999999998,0.9882352941176471,0.9192982456140351,0.8795811518324608
0.16499999999999998,0.9823529411764705,0.9192982456140351,0.8789473684210526
0.16999999999999998,0.9823529411764705,0.9192982456140351,0.8789473684210526
0.175,0.9823529411764705,0.9192982456140351,0.8789473684210526
0.18,0.9823529411764705,0.9228070175438596,0.8835978835978836
0.185,0.9823529411764705,0.9263157894736842,0.8882978723404256
0.19,0.9823529411764705,0.9263157894736842,0.8882978723404256
0.195,0.9823529411764705,0.9263157894736842,0.8882978723404256
0.19999999999999996,0.9823529411764705,0.9263157894736842,0.8882978723404256
0.20499999999999996,0.9823529411764705,0.9298245614035088,0.893048128342246
0.20999999999999996,0.9823529411764705,0.9333333333333333,0.8978494623655914
0.21499999999999997,0.9823529411764705,0.9333333333333333,0.8978494623655914
0.21999999999999997,0.9823529411764705,0.9333333333333333,0.8978494623655914
0.22499999999999998,0.9823529411764705,0.9333333333333333,0.8978494623655914
0.22999999999999998,0.9823529411764705,0.9333333333333333,0.8978494623655914
0.235,0.9823529411764705,0.9333333333333333,0.8978494623655914
0.24,0.9823529411764705,0.9368421052631579,0.9027027027027027
0.245,0.9823529411764705,0.9368421052631579,0.9027027027027027
0.24999999999999994,0.9823529411764705,0.9368421052631579,0.9027027027027027
0.25499999999999995,0.9823529411764705,0.9473684210526315,0.9175824175824175
0.25999999999999995,0.9823529411764705,0.9473684210526315,0.9175824175824175
0.26499999999999996,0.9823529411764705,0.9473684210526315,0.9175824175824175
0.26999999999999996,0.9823529411764705,0.9508771929824561,0.9226519337016574
0.27499999999999997,0.9823529411764705,0.9508771929824561,0.9226519337016574
0.27999999999999997,0.9823529411764705,0.9508771929824561,0.9226519337016574
0.285,0.9764705882352941,0.9508771929824561,0.9222222222222223
0.29,0.9764705882352941,0.9543859649122807,0.9273743016759777
0.295,0.9764705882352941,0.9543859649122807,0.9273743016759777
0.3,0.9764705882352941,0.9543859649122807,0.9273743016759777
0.30499999999999994,0.9764705882352941,0.9543859649122807,0.9273743016759777
0.30999999999999994,0.9764705882352941,0.9543859649122807,0.9273743016759777
0.31499999999999995,0.9764705882352941,0.9543859649122807,0.9273743016759777
0.31999999999999995,0.9764705882352941,0.9543859649122807,0.9273743016759777
0.32499999999999996,0.9764705882352941,0.9543859649122807,0.9273743016759777
0.32999999999999996,0.9764705882352941,0.9543859649122807,0.9273743016759777
0.33499999999999996,0.9764705882352941,0.9578947368421052,0.9325842696629213
0.33999999999999997,0.9764705882352941,0.9614035087719298,0.9378531073446328
0.3449999999999999,0.9764705882352941,0.9614035087719298,0.9378531073446328
0.3499999999999999,0.9764705882352941,0.9614035087719298,0.9378531073446328
0.3549999999999999,0.9764705882352941,0.9614035087719298,0.9378531073446328
0.35999999999999993,0.9764705882352941,0.9649122807017544,0.9431818181818182
0.36499999999999994,0.9764705882352941,0.9649122807017544,0.9431818181818182
0.36999999999999994,0.9764705882352941,0.9719298245614035,0.9540229885057471
0.37499999999999994,0.9705882352941176,0.9719298245614035,0.953757225433526
0.37999999999999995,0.9705882352941176,0.9719298245614035,0.953757225433526
0.38499999999999995,0.9705882352941176,0.9719298245614035,0.953757225433526
0.38999999999999996,0.9705882352941176,0.9719298245614035,0.953757225433526
0.39499999999999996,0.9705882352941176,0.9719298245614035,0.953757225433526
0.3999999999999999,0.9705882352941176,0.9719298245614035,0.953757225433526
0.4049999999999999,0.9705882352941176,0.9719298245614035,0.953757225433526
0.4099999999999999,0.9705882352941176,0.9719298245614035,0.953757225433526
0.4149999999999999,0.9705882352941176,0.9719298245614035,0.953757225433526
0.41999999999999993,0.9705882352941176,0.9719298245614035,0.953757225433526
0.42499999999999993,0.9705882352941176,0.9719298245614035,0.953757225433526
0.42999999999999994,0.9705882352941176,0.9719298245614035,0.953757225433526
0.43499999999999994,0.9705882352941176,0.9719298245614035,0.953757225433526
0.43999999999999995,0.9647058823529412,0.9754385964912281,0.9590643274853801
0.44499999999999995,0.9647058823529412,0.9754385964912281,0.9590643274853801
0.4499999999999999,0.9647058823529412,0.9754385964912281,0.9590643274853801
0.4549999999999999,0.9647058823529412,0.9754385964912281,0.9590643274853801
