Model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,mcc_mean,mcc_std,brier_mean,brier_std
Random Forest,0.997803544494721,0.0014276617660363862,0.9986502267336448,0.0008816917972315143,0.9764705882352942,0.022866478019001178,0.95625,0.025,0.9663602941176471,0.019621625058456306,0.9745603421478102,0.016130821350293634,0.9344144073719832,0.0412172077993506,-0.02458309617168297,0.006244444100456984
Tuned and pruned CART,0.9732230392156863,0.021052587610962743,0.9755749131105101,0.020606927864370045,0.9491704374057315,0.015801871316692393,0.98125,0.024999999999999998,0.9652102187028658,0.01883859689560974,0.968077231252537,0.014762735383307532,0.920914831514111,0.03707951216816548,-0.03579850024210054,0.021933212223303997
Logistic Regression,0.9690351621417799,0.016348367021215494,0.9835745479210122,0.00875411305176416,0.9256410256410256,0.03154321833404481,0.93125,0.041457809879442496,0.9284455128205128,0.02624501263374932,0.9403237748707731,0.02124248111904624,0.8509323041349228,0.053023340811171236,-0.06274276714212132,0.017159047897683907
Basic CART,0.9636783559577677,0.01590387290088626,0.9640822048301022,0.019059378864238818,0.9648567119155356,0.01918324355424995,0.9625,0.036443449342783124,0.9636783559577677,0.01590387290088626,0.970559259510716,0.010574840131381203,0.9251567227635297,0.02850060453979981,-0.036058519793459545,0.013199256158373729
Dummy (prior),0.5,0.0,0.6153757888697649,0.0018359150889271536,1.0,0.0,0.0,0.0,0.5,0.0,0.7618964003511852,0.0014047410008779513,0.0,0.0,-0.2366903423603032,0.0004208059049371271
