,num__Age,num__Work_Experience_Cleaned,cat__Gender_Female,cat__Gender_Male,cat__Ever_Married_No,cat__Ever_Married_Yes,cat__Graduated_No,cat__Graduated_Yes,cat__Profession_Artist,cat__Profession_Doctor,cat__Profession_Engineer,cat__Profession_Entertainment,cat__Profession_Executive,cat__Profession_Healthcare,cat__Profession_Homemaker,cat__Profession_Lawyer,cat__Profession_Marketing,cat__Spending_Score_Average,cat__Spending_Score_High,cat__Spending_Score_Low,cat__Var_1_Cat_1,cat__Var_1_Cat_2,cat__Var_1_Cat_3,cat__Var_1_Cat_4,cat__Var_1_Cat_5,cat__Var_1_Cat_6,cat__Var_1_Cat_7,ord__Family_Size
A,-0.022709965771570962,0.05149696185085195,-0.006487924556645023,0.07523451386952353,0.024458749810786166,0.04428783950209296,0.10578064196617408,-0.03703405265329528,-0.007292599556872385,0.13240638847358382,0.41105891656675325,0.4762580881557885,-0.17038967707205624,-0.7565865685564671,0.07073866892451752,0.024142969186228696,-0.11158959680859915,-0.23564842862451493,0.06680275623017598,0.2375922617072154,0.0132031059846492,-0.17006645201145387,0.04253072048408982,0.3316030310126249,-0.023401952973216084,-0.1375158635700281,0.012394000386215001,-0.18890568584219525
B,0.21230814204686257,-0.08165051099937953,0.10114366399544952,-0.03594474780577317,-0.04568317629856058,0.11088209248821843,-0.08147026487737663,0.14666918106704588,0.42508451320830654,0.04961080425387262,0.2578319148310722,0.06750918006687073,0.16064736580678776,-0.22531569269343665,0.11709485136134337,-0.3895500359885836,-0.3977139846565619,0.12884173196120438,0.12254201916365175,-0.18618483493518584,-0.11049202451672613,0.15366194202340352,-0.08766751708083316,-0.0009640691679604011,0.17469020333232715,-0.09415307626102767,0.03012345786049154,0.0019791241218180223
C,0.38786976866539824,-0.06837445111981043,0.08238676493212838,-0.1563363695422563,-0.010270247311345092,-0.06367935729878539,-0.31245807429934,0.2385084696892105,0.725118782717601,0.17218027033965425,-0.46791483592910443,-0.271352008328498,0.065305774168827,0.49236244254611555,-0.29941687737324657,-0.5714623645880078,0.08122921183653176,0.517596121985843,0.06978089367491229,-0.661326620270881,0.1121290079112476,0.22452862959835926,0.0484136201808311,-0.6996580443005953,-0.13912832595166788,0.28373014488145215,0.09603536307023186,0.2583185967226292
D,-0.5774679449406964,0.09852800026833199,-0.17704250437093655,0.11704660347851001,0.03149467379909552,-0.09149057469153882,0.28814769721052785,-0.34814359810296946,-1.1429106963690356,-0.3541974630671108,-0.20097599546872208,-0.2724152598941627,-0.055563462903558784,0.48953981870378194,0.11158335708738575,0.9368694313903624,0.4280743696286294,-0.41078942532252755,-0.25912566906874,0.6099191934988288,-0.014840089379170548,-0.20812411961030874,-0.0032768235840881297,0.3690190824559285,-0.012159924407443025,-0.052061205050409363,-0.13855282131693852,-0.07139203500225962
