model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,cv_time,fold_macro_f1
CategoricalNB,0.8748341520282217,0.0012338431200221705,0.6628688412996941,0.004153139255821823,0.8676433491054569,0.0010908214803109107,1.7408344745635986,"[0.6594603610740806, 0.6686549745583186, 0.657430563932112, 0.666254844911003, 0.6625434620229571]"
BernoulliNB,0.8385037077588164,0.002138007873184185,0.6496675444633944,0.0022169908080870515,0.8466939114035993,0.001235157014492299,2.135775327682495,"[0.646001154875967, 0.6527185734056096, 0.6507353328122105, 0.6499805585927467, 0.6489021026304378]"
GaussianNB,0.8379229211672715,0.004612354349155718,0.5389368516801396,0.006985146698126628,0.8233459163330356,0.0030868180546388497,7.905717849731445,"[0.5346703325206204, 0.5523751833924578, 0.5390190529692974, 0.5353924998005758, 0.5332271897177466]"
Dummy,0.8830181385725526,5.256047063157839e-05,0.46893766964070566,1.4824073788585262e-05,0.8281609378636936,7.547279368781882e-05,37.93152046203613,"[0.4689472911466745, 0.4689472911466745, 0.4689083033551134, 0.46894273127753305, 0.46894273127753305]"
