,precision,recall,f1-score,support
no,0.9177384130065518,0.9472761427676895,0.9322733715412584,7985.0
yes,0.47440699126092384,0.3591682419659735,0.40882194728348575,1058.0
accuracy,0.8784695344465332,0.8784695344465332,0.8784695344465332,0.8784695344465332
macro avg,0.6960727021337378,0.6532221923668315,0.670547659412372,9043.0
weighted avg,0.8658701564316459,0.8784695344465332,0.8710313493290807,9043.0
