group,mean_macro_f1,std_macro_f1,fold_scores
combined,0.6628688412996941,0.004153139255821823,"[0.6594603610740806, 0.6686549745583186, 0.657430563932112, 0.666254844911003, 0.6625434620229571]"
campaign_only,0.6309148759155008,0.007929677617907154,"[0.6196723992896532, 0.6415864383817932, 0.6357424836973006, 0.6242171805581819, 0.6333558776505747]"
demographic_only,0.5251921726448878,0.002564746986247366,"[0.5251814671814672, 0.5287154894622422, 0.5259605513204167, 0.5207363033721003, 0.5253670518882124]"
