threshold,coverage,selective_error,selective_error_yes,selective_error_no
0.3,1.0,0.124944702499447,0.5440366972477064,0.08328773785640464
0.35,1.0,0.124944702499447,0.5440366972477064,0.08328773785640464
0.39999999999999997,1.0,0.124944702499447,0.5440366972477064,0.08328773785640464
0.44999999999999996,1.0,0.124944702499447,0.5440366972477064,0.08328773785640464
0.49999999999999994,1.0,0.124944702499447,0.5440366972477064,0.08328773785640464
0.5499999999999999,0.9786828135368282,0.11707206825437189,0.5207832360013741,0.08089638613556605
0.5999999999999999,0.9565914620659146,0.10997745534423953,0.5028946352759552,0.07817040022495081
0.6499999999999999,0.9328135368281354,0.1028217440275061,0.48496732026143796,0.07492923703208987
0.7,0.9054965715549658,0.09712977099236642,0.47481662591687046,0.07197524833089075
0.7499999999999999,0.8728157487281575,0.0902179422199696,0.4506963788300835,0.06848486884089611
0.7999999999999998,0.8303472683034727,0.08294485881726155,0.4199335548172758,0.06516633364882396
0.8499999999999999,0.7708195089581951,0.07543312170450878,0.39456342668863265,0.0609038064879055
0.8999999999999999,0.6777538155275381,0.06674009709133932,0.3595628415300547,0.05538604966522587
0.95,0.5102853351028533,0.05672951885565669,0.31351351351351353,0.04876822523881352
