Segment,Precision,Recall,F1,Support
A,0.43041237113402064,0.42385786802030456,0.42710997442455245,394.0
B,0.38613861386138615,0.20967741935483872,0.27177700348432055,372.0
C,0.5,0.6649746192893401,0.5708061002178649,394.0
D,0.646,0.711453744493392,0.6771488469601677,454.0
