,precision,recall,f1-score,support
no,0.9007432818753573,0.986474639949906,0.94166168559474,7985.0
yes,0.6375838926174496,0.17958412098298676,0.28023598820059,1058.0
accuracy,0.8920712153046555,0.8920712153046555,0.8920712153046555,0.8920712153046555
macro avg,0.7691635872464035,0.5830293804664464,0.610948836897665,9043.0
weighted avg,0.8699545354599126,0.8920712153046555,0.8642771464105079,9043.0
