Model,Macro_F1_Mean,Macro_F1_Std,Weighted_F1_Mean,Accuracy_Mean,CV_Time_Seconds
LogisticRegression_extension,0.49273271723415046,0.015493970150903025,0.5013525064093971,0.5055788734170374,0.5135463999999956
CategoricalNB,0.4836488134166845,0.007802217081898696,0.49287374851628185,0.5080562510883336,0.33276440000008733
BernoulliNB,0.48235709463749543,0.012060225321803644,0.4910385274067222,0.5034089312413308,0.4551865999999336
GaussianNB,0.27440523069648953,0.012129652490726015,0.28923552630196536,0.3887517038051147,9.30689099999995
DummyClassifier,0.10970001551744835,7.594294421330224e-05,0.12333181094493591,0.2810659365073646,14.85461639999994
