,Pred_A,Pred_B,Pred_C,Pred_D
True_A,0.42385786802030456,0.1446700507614213,0.22081218274111675,0.21065989847715735
True_B,0.25268817204301075,0.20967741935483872,0.43010752688172044,0.10752688172043011
True_C,0.116751269035533,0.08121827411167512,0.6649746192893401,0.13705583756345177
True_D,0.17841409691629956,0.07709251101321586,0.03303964757709251,0.711453744493392
