location,n_periods,MAE,RMSE,mean_count,std_count,backend,key
008,12,46.13249631975481,71.25050217881103,432.8394875659382,142.93505157049367,cpu,008
011,12,36.24357761580487,65.4151179687968,408.61793519216275,119.22191589055342,cpu,011
006,12,29.070699909573946,59.84581699613015,377.1341371514695,99.36569614979109,cpu,006
004,12,35.082863368610305,57.22223169689171,365.4642049736247,107.83935195170493,cpu,004
025,12,29.282401367921413,56.827549447230076,364.1228334589299,124.21085129446529,cpu,025
007,12,24.415493184347174,40.32590887445074,364.0881688018086,140.99377061282374,cpu,007
003,12,33.2799672157017,53.632488510533854,328.2456669178598,104.04779731997138,cpu,003
012,12,81.81066417597826,107.2727672081448,327.7467972871138,95.01715699596643,cpu,012
009,12,36.07400614804052,59.13585709240359,313.14544084400904,112.19213255741519,cpu,009
002,12,42.65797745217317,67.45776215871449,308.7807083647325,125.2889667052931,cpu,002
019,12,39.976781773088724,61.0268660014524,295.1303692539563,87.26304457677226,cpu,019
018,12,46.52423289674736,71.7700457553954,294.62773172569706,78.36726632322153,cpu,018
005,12,25.157008608200524,41.12212610796148,283.3896006028636,89.33290381904264,cpu,005
010,12,29.41425968069339,47.358000673688814,276.92614920874155,77.28287720489391,cpu,010
001,12,30.145124034230378,52.7845695713082,270.57724189902035,62.261937758496956,cpu,001
015,12,31.242142154402114,43.487748708138234,271.0135644310475,100.46474868522941,cpu,015
014,12,36.778559211340955,54.07920390010997,248.4159758854559,97.0317249254825,cpu,014
016,12,18.662877080058582,36.264504017831975,217.2064807837227,59.758093441168484,cpu,016
022,12,23.70335989337143,35.99283654961974,210.76639035418236,66.46459712090936,cpu,022
024,12,22.434293448230104,34.68929598827803,197.12358703843256,60.885743028784596,cpu,024
017,12,37.976476824459546,46.323237004936765,187.36397889977394,57.89228567536009,cpu,017
