Model,MAE,RMSE
AR(3),26.99223107967244,49.81082134805953
"ARIMA(2, 1, 0)",46.13249631975481,71.25050217881103
Naive,53.583333333333336,76.64909218857933
"SARIMA(2, 1, 0)x(1, 1, 1, 52)",34.505566488157015,63.73498687432745
LSTM,36.07759475708008,60.208339866277036
