Model,MAE,RMSE,RO_Mean_MAE,RO_Std_MAE,RO_Mean_RMSE,RO_Std_RMSE,Folds
AR(3),26.99223107967244,49.81082134805953,30.14635411732444,12.88082475474065,35.175341299301095,13.995572794892922,83.0
"ARIMA(2, 1, 0)",46.13249631975481,71.25050217881103,26.26810881987142,11.454241375056608,31.229463449350845,12.721790493840798,83.0
Naive,53.583333333333336,76.64909218857933,,,,,
"SARIMA(2, 1, 0)x(1, 1, 1, 52)",34.505566488157015,63.73498687432745,29.851121604424073,13.770447761485649,35.90829602178722,16.706137472711465,84.0
LSTM,36.07785034179688,60.208291207093104,,,,,
