model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean
linear_svc,0.9890399719674893,0.0026664830264380066,0.9872615727395058,0.0030837971886786136,0.9890349782371552
logistic_regression,0.9844913124855778,0.0006540702219146336,0.981995451061052,0.00071925532392896,0.9844930947852457
complement_nb,0.97932153631834,0.0014653654879049523,0.9758288910806889,0.0017289227317124779,0.9792524071811975
multinomial_nb,0.9733253138701101,0.0041036357044192786,0.9684761008501859,0.004948261314097476,0.9730821359780493
dummy_majority,0.686311075405745,0.0004392400718991935,0.40698956293331207,0.00015448671968625464,0.5586430249448658
