model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean
linear_svc,0.9923022497351128,0.0013031251282625675,0.9922985848287919,0.0013042470461685845,0.9923015463167217
logistic_regression,0.9881967891602701,0.001484032892711054,0.9881890738702909,0.0014859829632425164,0.98819439743866
multinomial_nb,0.9864203720675908,0.0012060920187833414,0.9864149410723954,0.0012066675221799469,0.9864197429595135
complement_nb,0.9862624799265056,0.0014479241432809747,0.9862572837578583,0.001448544185480161,0.9862620062809124
dummy_majority,0.5088425754191115,4.920083168911078e-05,0.33724033417764143,2.1611771431367418e-05,0.34320448248294
