dataset_id,model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,weighted_f1_sd
enron_spam,linear_svc,0.9923022497351128,0.0013031251282625675,0.9922985848287919,0.0013042470461685845,0.9923015463167217,0.0013035493137097149
enron_spam,logistic_regression,0.9881967891602701,0.001484032892711054,0.9881890738702909,0.0014859829632425164,0.98819439743866,0.0014849910842952743
enron_spam,multinomial_nb,0.9864203720675908,0.0012060920187833414,0.9864149410723954,0.0012066675221799469,0.9864197429595135,0.0012062068219293204
enron_spam,complement_nb,0.9862624799265056,0.0014479241432809747,0.9862572837578583,0.001448544185480161,0.9862620062809124,0.0014480209411708617
enron_spam,dummy_majority,0.5088425754191115,4.920083168911078e-05,0.33724033417764143,2.1611771431367418e-05,0.34320448248294,5.517812051551393e-05
spamassassin,linear_svc,0.9890399719674893,0.0026664830264380066,0.9872615727395058,0.0030837971886786136,0.9890349782371552,0.0026614223061180264
spamassassin,logistic_regression,0.9844913124855778,0.0006540702219146336,0.981995451061052,0.00071925532392896,0.9844930947852457,0.000641155438346076
spamassassin,complement_nb,0.97932153631834,0.0014653654879049523,0.9758288910806889,0.0017289227317124779,0.9792524071811975,0.001477577225642557
spamassassin,multinomial_nb,0.9733253138701101,0.0041036357044192786,0.9684761008501859,0.004948261314097476,0.9730821359780493,0.004187715564685659
spamassassin,dummy_majority,0.686311075405745,0.0004392400718991935,0.40698956293331207,0.00015448671968625464,0.5586430249448658,0.0005695067074942322
