model,best_params,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,cv_accuracy_mean,cv_accuracy_std,fit_time_mean,val_macro_f1,val_weighted_f1,val_accuracy
MultinomialNB,"{'clf__alpha': 0.1, 'tfidf__max_df': 0.9, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': False}",0.6912818020087774,0.019270206902259595,0.7624029741799878,0.012726512067193552,0.7808556225012669,0.009979595639358347,2.1749043464660645,0.7099030694477054,0.7773880615008862,0.7930263746088512
LogisticRegression,"{'clf__C': 1.0, 'clf__class_weight': 'balanced', 'tfidf__max_df': 0.9, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': True}",0.7428039648603975,0.006654952984331043,0.7952103656745478,0.005890059879647417,0.7926766240591625,0.006333390819984956,4.070104455947876,0.7564401648996014,0.8072960001014672,0.8042020563254358
LinearSVC,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'tfidf__max_df': 0.9, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2), 'tfidf__sublinear_tf': True}",0.7397097547571334,0.007788814043118294,0.7961630288688176,0.0037452595627259166,0.8008135311672955,0.003248716485559439,1.9703623294830321,0.7586950881628086,0.8126868339736656,0.8153777380420205
