airline,N,negative,neutral,positive,negative_pct,neutral_pct,positive_pct,Error Rate (%)
American,439,318,76,45,72.4373576309795,17.312072892938495,10.250569476082005,15.945330296127558
Delta,362,157,116,89,43.370165745856355,32.04419889502763,24.585635359116022,24.309392265193374
Southwest,366,176,93,97,48.08743169398907,25.40983606557377,26.50273224043716,22.677595628415304
US Airways,450,353,57,40,78.44444444444446,12.666666666666668,8.88888888888889,15.111111111111109
United,558,375,111,72,67.20430107526882,19.892473118279568,12.903225806451612,20.07168458781362
Virgin America,66,28,20,18,42.42424242424242,30.303030303030305,27.27272727272727,39.39393939393939
