Model,Macro-F1 (CV mean),Macro-F1 (CV std),Macro-F1 (Val),Weighted-F1 (Val),Accuracy (Val),Macro-F1 (Test)
DummyClassifier,0.25679511727526466,2.233096005778857e-05,0.25662175785904134,0.48181107868036366,0.6258381761287438,0.2571271929824562
VADER,0.511905094916008,0.00970894123458612,0.5206448475150695,0.5774193963919253,0.5561019222172553,0.5210260746773206
